air_Pressure_mH2o,air_Temp_float,airtime,batt,dev_id,dist,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
10.32513523,9.222928047,1.97E+09,4.095,puhatu_c2,65.7,-121,-13,11.31007862,5.96714592,0.98494339
10.30389977,8.998762131,2.14E+09,3.924,puhatu_l1,0,-119,0.8,-1,0,-11.30389977
-1,0,4.94E+08,3.767,fipy_e1,68.8,-25,12.2,9.99359417,21.17894363,10.99359417
10.25238419,21.06793404,4.94E+08,3.741,fipy_d1,29.8,-26,12.5,10.26590633,21.01085663,0.013522148
10.25293255,20.86408424,4.94E+08,3.74,fipy_d1,29.9,-24,13.5,10.26701069,20.88497353,0.01407814
-1,0,4.94E+08,3.768,fipy_e1,68.9,-27,8,9.997329712,20.92562675,10.99732971
-1,0,4.94E+08,3.767,fipy_e1,69,-30,14.2,9.996023178,20.93500328,10.99602318
10.31760216,5.14781332,1.97E+09,3.826,puhatu_c1,67.3,-121,-9.8,-1,0,-11.31760216
-1,0,2.14E+09,3.843,puhatu_b3,51.8,-120,-20,-1,0,0
-1,0,4.94E+08,3.766,fipy_e1,68.6,-28,12,9.995516777,20.89736557,10.99551678
10.25386906,20.87551308,4.94E+08,3.742,fipy_d1,29.8,-23,9.2,10.26645756,20.72894859,0.012588501
-1,0,4.94E+08,3.767,fipy_e1,68.9,-28,12,9.994361877,20.81195641,10.99436188
10.25130177,20.73059845,4.94E+08,3.739,fipy_d1,29.8,-24,13.8,10.26495266,20.64810753,0.013650894
-1,0,4.94E+08,3.765,fipy_e1,69.1,-28,8.5,9.992682457,20.79376221,10.99268246
10.30736351,6.026744843,2.14E+09,4.085,puhatu_b1,49.8,-120,-17.8,-1,0,-11.30736351
-1,0,4.94E+08,3.766,fipy_e1,69.2,-28,12,9.993777275,20.78404045,10.99377728
10.2508688,20.82502174,4.94E+08,3.74,fipy_d1,29.7,-25,12.8,10.26426697,20.63279343,0.01339817
-1,0,4.94E+08,3.767,fipy_e1,69,-30,13.5,9.991369247,20.70696259,10.99136925
10.24942875,20.67481041,4.94E+08,3.741,fipy_d1,55.1,-27,12.2,10.26317215,20.56209183,0.013743401
-1,0,4.94E+08,3.765,fipy_e1,69,-27,12,9.992621422,20.68099213,10.99262142
10.24977112,20.80849457,4.94E+08,3.738,fipy_d1,55.5,-25,9.5,10.2632122,20.54029465,0.013441086
-1,0,4.94E+08,3.766,fipy_e1,68.6,-29,12.5,9.99128437,20.66745186,10.99128437
10.24867535,20.780056,4.94E+08,3.743,fipy_d1,29.8,-24,10.8,10.26185036,20.54167557,0.013175011
10.24698639,20.66322327,4.94E+08,3.742,fipy_d1,55.3,-25,8.8,10.26018715,20.49359894,0.01320076
10.31674671,5.853426933,1.97E+09,3.824,puhatu_c1,67.5,-120,-11.2,-1,0,-11.31674671
-1,0,4.94E+08,3.765,fipy_e1,69.2,-25,10,9.988876343,20.62210655,10.98887634
10.24595833,20.85688782,4.94E+08,3.739,fipy_d1,55.3,-25,9.2,10.25938511,20.49966812,0.013426781
-1,0,4.94E+08,3.762,fipy_e1,68.9,-25,9.2,9.989095688,20.65522957,10.98909569
10.24683189,20.93616676,4.94E+08,3.741,fipy_d1,29.9,-25,9,10.26035881,20.56443787,0.013526917
10.24476337,20.93081093,4.94E+08,3.74,fipy_d1,29.8,-25,12.5,10.25835609,20.57719994,0.01359272
-1,0,4.94E+08,3.766,fipy_e1,68.3,-28,11.5,9.98750782,20.65571594,10.98750782
10.24459457,20.82024574,4.94E+08,3.741,fipy_d1,29.8,-25,9.5,10.25804234,20.56098938,0.013447762
10.31065655,11.06505775,2.14E+09,4.005,puhatu_b2,44.7,-114,2.8,11.71522808,6.395441055,1.404571533
10.32676029,10.45209694,1.97E+09,3.695,puhatu_c2,65.9,-120,-14.8,11.30764008,6.008248329,0.980879784
10.30421829,8.909503937,2.14E+09,3.923,puhatu_l1,0,-118,-2,-1,0,-11.30421829
-1,0,4.94E+08,3.761,fipy_e1,69.3,-28,11.2,9.986245155,20.71855927,10.98624516
10.24328995,21.14295387,4.94E+08,3.741,fipy_d1,29.9,-25,8.5,10.25702095,20.63093185,0.013731003
-1,0,4.94E+08,3.764,fipy_e1,68.4,-28,11.8,9.985569954,20.80855179,10.98556995
10.24236679,21.16545105,4.94E+08,3.739,fipy_d1,29.9,-24,10.8,10.25598812,20.72391129,0.01362133
10.30920982,20.01390076,2.14E+09,3.496,puhatu_b3,52.1,-119,-4,-1,0,-11.30920982
-1,0,4.94E+08,3.764,fipy_e1,69.8,-28,12,9.987348557,20.82119179,10.98734856
10.24551201,21.22939491,4.94E+08,3.738,fipy_d1,29.8,-24,13,10.25940609,20.76764488,0.013894081
-1,0,4.94E+08,3.764,fipy_e1,69.7,-28,11.2,9.986865044,21.29816818,10.98686504
10.24573517,21.88994408,4.94E+08,3.738,fipy_d1,29.6,-27,12.5,10.25982189,21.27220917,0.014086723
10.31662941,18.77717209,1.97E+09,3.821,puhatu_c1,30.2,-120,-10.2,-1,0,-11.31662941
-1,0,4.94E+08,3.764,fipy_e1,70.8,-30,12.5,9.988082886,21.29497528,10.98808289
10.24710274,21.92963409,4.94E+08,3.738,fipy_d1,29.8,-24,10.5,10.26158237,21.42940712,0.014479637
-1,0,4.94E+08,3.763,fipy_e1,69.6,-26,12.8,9.990327835,21.14790344,10.99032784
10.24948788,21.74891853,4.94E+08,3.738,fipy_d1,29.9,-28,11.5,10.26334286,21.35208511,0.01385498
-1,0,4.94E+08,3.759,fipy_e1,68.9,-25,9.8,9.99331665,21.25629807,10.99331665
10.25268555,21.91443443,4.94E+08,3.739,fipy_d1,29.8,-25,9.5,10.26687241,21.49300575,0.014186859
-1,0,4.94E+08,3.762,fipy_e1,70.1,-25,9.5,9.990732193,21.18463707,10.99073219
